SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
17020,Maipe Malbec Mendoza,83,916.1700000000001,11.03,50,32090031.3,0.9683354323725999,C
2597,Beefeater 24,39,914.6099999999999,23.875714285714285,35,32090945.91,0.9683630312634056,C
44780,Nicolis Valpo Seccal Ripasso,42,913.5799999999999,21.796451612903223,31,32091859.49,0.9683905990733599,C
19571,Mt Brave Cab Svgn Mt Veeder,13,911.8699999999999,70.21222222222222,9,32092771.36,0.9684181152830658,C
35650,Penley Est Phoenix Cab Svgn,48,911.52,18.99,33,32093682.88,0.9684456209313171,C
25282,Ransom Sweet Vermouth,48,911.5199999999999,18.99,44,32094594.4,0.9684731265795686,C
18618,Picket Fence Pnt Nr RRV,57,911.43,15.99,35,32095505.83,0.9685006295120175,C
35590,Tiziano Chianti,82,911.1800000000001,11.104285714285716,35,32096417.009999998,0.9685281249005705,C
23591,Spottswoode Lyndenhurst Cab,13,909.8699999999999,69.99,10,32097326.88,0.9685555807591085,C
18971,Tenuta Guado Al Tasso Bructo,35,908.65,25.99,25,32098235.529999997,0.9685829998034341,C
5925,Pimms Blackberry & Elderflwr,47,906.03,19.402499999999996,40,32099141.56,0.9686103397877299,C
28497,Warre's Fine Selected Ruby P,70,905.3000000000001,12.931176470588236,51,32100046.86,0.9686376577438494,C
25817,Guigal Chtnf du Pape,18,904.82,50.347142857142856,14,32100951.68,0.9686649612156887,C
20552,Cafaggio Basilica Chianti Cl,58,903.42,15.648536585365854,41,32101855.1,0.9686922224417105,C
13711,Venta Morales Tempranillo,111,901.89,8.149420289855072,69,32102756.990000002,0.9687194374990888,C
23539,Vin Vault Chard,50,900.4999999999999,18.01325581395349,43,32103657.490000002,0.9687466106124055,C
24647,Dom Perignon P2 Blanc 1998,3,899.97,299.99,2,32104557.46,0.9687737677326627,C
23331,Ch Ducru Beaucaillou 11 Jul,6,899.94,149.99,1,32105457.400000002,0.9688009239476525,C
42052,Duckhorn Three Palms Merlot,10,899.9,89.99,7,32106357.3,0.9688280789556187,C
20252,Round Pond Est Cab Rutherfrd,15,899.85,59.99,4,32107257.150000002,0.968855232454806,C
20517,Hauts de Smith Rouge Pessac,25,899.75,35.99,11,32108156.900000002,0.9688823829364347,C
24540,Signo 11 Bobal de Manchuela,45,899.55,19.99,9,32109056.450000003,0.9689095273829468,C
22087,Juxtapoz Red North Cst,44,897.56,20.468260869565217,23,32109954.01,0.9689366117800468,C
3219,Svedka Grapefruit Jalapeno,905,895.95,0.99,373,32110849.96,0.9689636475944565,C
868,Tanqueray Ten Gin,28,895.7199999999999,31.99,19,32111745.68,0.9689906764684821,C
1416,Old Grand Dad,32,895.68,27.99,18,32112641.36,0.9690177041354844,C
3670,Kinky Vodka,56,895.44,15.99,55,32113536.8,0.9690447245603465,C
6375,Christian Bros Dry Sherry,163,894.87,5.49,123,32114431.67,0.9690717277851257,C
42603,3 Blind Moose Merlot Cal,84,893.16,10.528461538461539,39,32115324.830000002,0.9690986794096565,C
17341,Lobster & Shrimp Muscadet,116,892.84,7.74,64,32116217.67,0.9691256213780004,C
2990,Bulldog Gin,36,891.64,24.74,32,32117109.310000002,0.9691525271356436,C
17145,Honeymaker Blueberry Mead,50,891.4999999999999,17.82720930232558,43,32118000.810000002,0.9691794286687051,C
6724,Black Opal Cashmore Cab Svgn,91,889.09,9.811428571428573,56,32118889.900000002,0.9692062574786093,C
12310,Napa Cellars Pnt Nr Napa,47,887.53,18.875714285714285,35,32119777.430000003,0.9692330392146027,C
7828,Bols Peach Schnapps,111,886.89,7.99,86,32120664.320000004,0.9692598016382222,C
41222,C Krug Svgn Bl Napa,55,886.45,16.11121212121212,33,32121550.770000003,0.9692865507845849,C
46783,Oops Voluptuous Beauty Valle,89,885.11,9.930298507462687,67,32122435.880000003,0.9693132594956652,C
4060,Sauza Cucumber Chili Tequila,59,884.41,14.99,51,32123320.290000003,0.9693399470838366,C
33441,Etude Carneros Pnt Nr,21,881.7900000000001,41.99,15,32124202.080000002,0.9693665556119783,C
23497,Ch Gruaud Larose 11 St Julin,11,879.89,79.99,2,32125081.970000003,0.9693931068065105,C
13244,Garden Creek Meritage,11,879.89,79.99,4,32125961.860000003,0.9694196580010427,C
25009,St Supery Dollarhide Cab Svg,11,879.8899999999999,79.99,6,32126841.750000004,0.9694462091955749,C
1860,Bruichladdich Islay Barley,13,879.8699999999999,68.32333333333332,9,32127721.620000005,0.9694727597865954,C
9140,Caffo Vecchio Amaro del Capo,40,879.5999999999999,21.99,34,32128601.220000006,0.9694993022302083,C
18396,The Tractor Guy Pnt Nr,44,879.56,19.99,7,32129480.780000005,0.9695258434667977,C
17500,Hob Nob Wicked Red,88,879.12,9.99,64,32130359.900000006,0.9695523714261304,C
7849,Tooters Apple-tini 15 Pk,88,879.12,9.99,47,32131239.020000007,0.9695788993854629,C
44733,Casa Liliana Good Chianti,95,877.05,8.971132075471699,53,32132116.070000008,0.9696053648813369,C
217,Absolut Vanilia,40,875.5999999999999,21.79,20,32132991.67000001,0.9696317866226141,C
20180,Rosatello Sw Sparkling Rose,58,875.42,15.181489361702127,47,32133867.09000001,0.9696582029322862,C
2863,The Deveron 12 Yr Scotch,18,874.82,48.066923076923075,13,32134741.91000001,0.9696846011366079,C
22294,The Calling Pnt Nr RRV,35,874.65,24.99,19,32135616.56000001,0.9697109942110804,C
27472,Secco-Bertani Verona,63,874.37,13.887435897435898,39,32136490.93000001,0.9697373788363894,C
25182,Grahams 2000 Vintage Port,19,873.8100000000001,45.99,13,32137364.74000001,0.9697637465633714,C
12478,Commanderie Bargmn Prov Rose,46,873.54,18.99,29,32138238.28000001,0.9697901061429456,C
