SKU,Description,total_qty,total_revenue,avg_price,n_transactions,annual_demand_units,unit_cost_est,order_cost_S,holding_cost_H,EOQ_units
2366,Templeton Rye Whiskey,237,9266.630000000001,39.108279569892474,186,1441.75,34.99,200.0,6.998000000000001,287
8790,Bolla Valpolicella,704,9252.960000000001,13.179781021897812,411,4282.666666666666,12.99,200.0,2.5980000000000003,812
31558,J Lohr Los Osos Merlot,576,9246.24,15.888039215686275,255,3504.0,12.99,200.0,2.5980000000000003,735
14838,Layer Cake Cab Svgn,619,9227.17,15.20345132743363,339,3765.583333333333,14.99,200.0,2.998,709
661,Red Stag by Jim Beam,638,9224.12,14.45523517382413,489,3881.1666666666665,16.99,200.0,3.3979999999999997,676
1174,Rebel Yell,429,9223.71,21.45341463414634,328,2609.75,19.99,200.0,3.9979999999999998,511
1178,Evan Williams Black Label B,825,9194.25,11.182622950819672,610,5018.75,10.99,200.0,2.198,956
32368,Cavit Pinot Noir Delle Vene,692,9172.08,13.513560209424085,382,4209.666666666666,9.99,200.0,1.9980000000000002,918
6660,Carlo Rossi Paisano Calif,611,9158.89,14.99,469,3716.9166666666665,14.99,200.0,2.998,704
2132,Lord Calvert Canadian,705,9157.95,12.99,290,4288.75,12.99,200.0,2.5980000000000003,813
14393,Ch Montaud Cotes de Prov Rse,762,9157.38,12.02763440860215,372,4635.5,10.99,200.0,2.198,918
16695,Ch Hyot Brdx Castillon,608,9151.92,15.08642857142857,280,3698.6666666666665,15.99,200.0,3.1980000000000004,680
4390,Ron Zacapa 23 Yr Old Rum,200,9147.0,45.69967741935484,155,1216.6666666666665,45.99,200.0,9.198,230
19270,Veuve Clicquot Brut Yellow,365,9121.35,24.99,202,2220.4166666666665,24.99,200.0,4.998,422
6420,R M Woodbridge Chard Cal,1141,9116.59,7.99,482,6941.083333333333,7.99,200.0,1.598,1318
5725,DeKuyper Sour Apple Pucker,847,9115.53,10.771818181818182,605,5152.583333333333,10.99,200.0,2.198,968
3054,Smirnoff Kissed Caramel,729,9111.710000000001,12.504563106796118,515,4434.75,12.99,200.0,2.5980000000000003,826
3368,Pinnacle Grape Vodka,536,9106.64,16.99,407,3260.6666666666665,16.99,200.0,3.3979999999999997,620
5438,Emmets Irish Cream,911,9100.89,9.99,661,5541.916666666666,9.99,200.0,1.9980000000000002,1053
3524,Pravda Polish Vodka,455,9095.449999999999,19.99,355,2767.9166666666665,19.99,200.0,3.9979999999999998,526
24429,Baracchi O'Lillo,758,9088.42,11.990000000000002,348,4611.166666666666,11.99,200.0,2.398,877
17876,Darkhorse Cab Svgn,1137,9084.63,7.99,456,6916.75,7.99,200.0,1.598,1316
6876,Sutter Home Clsc Chard,1514,9068.86,5.99,707,9210.166666666666,5.99,200.0,1.1980000000000002,1754
4152,Jenkins Rum,1531,9065.69,5.908857142857143,875,9313.583333333332,5.99,200.0,1.1980000000000002,1763
36543,MacMurray Ranch Pnt Nr RRV,453,9055.47,19.990000000000002,208,2755.75,29.99,200.0,5.998,429
37904,Trapiche Broquel Mndz Malbec,750,9046.5,12.076720867208673,369,4562.5,12.99,200.0,2.5980000000000003,838
10596,Almaden Mt Rhine Calif B/B,549,9045.51,16.519113924050632,395,3339.75,16.99,200.0,3.3979999999999997,627
2554,WhistlePig Old World 12 Yr,79,9044.21,114.38655172413793,58,480.5833333333333,114.99,200.0,22.998,91
38850,Ravenswood Vntrs Bl Cab Svgn,1068,9042.72,9.035901639344262,366,6497.0,7.99,200.0,1.598,1275
32989,Barefoot Cab Svgn Cal,813,9030.87,11.099561752988048,502,4945.75,8.79,200.0,1.758,1061
8910,Finlandia Vodka,9104,9012.960000000001,0.9900000000000001,1335,55382.666666666664,0.99,200.0,0.198,10578
44494,Smoking Loon Pnt Grigio Cal,946,9002.14,9.51806324110672,506,5754.833333333333,6.79,200.0,1.358,1302
41714,Fish Eye Pnt Grigio,1772,8999.28,5.1088524590163935,732,10779.666666666666,4.99,200.0,0.9980000000000001,2079
41253,Ch St Jean Cab Svgn Cal,776,8999.04,12.255964912280701,285,4720.666666666666,9.99,200.0,1.9980000000000002,972
